filename,total_pages,max_page_num,mean_vector,max_vector,file_url,hover_text,mean_umap_1,mean_umap_2,max_umap_1,max_umap_2,cluster_mean,cluster_max,cluster_label_mean,cluster_label_max
0000004634,2,2,,,https://pdf.hres.ca/noc_pm/0000004634.PDF,Document: 0000004634<br>Pages: 2<br>Click to open file,1.026509141351632,4.222687146090762,-2.6452427161026946,4.5385183930128274,1,1,Cluster 1,Cluster 1
0000004804,1,1,,,https://pdf.hres.ca/noc_pm/0000004804.PDF,Document: 0000004804<br>Pages: 1<br>Click to open file,-1.6285251921158514,8.79547919931342,-9.00614502552042,7.9005298256605325,2,2,Cluster 2,Cluster 2
0000004805,1,1,,,https://pdf.hres.ca/noc_pm/0000004805.PDF,Document: 0000004805<br>Pages: 1<br>Click to open file,-1.5417846983414374,8.891278645419376,-8.881940389900302,7.625046694251841,2,2,Cluster 2,Cluster 2
0000005025,1,1,,,https://pdf.hres.ca/noc_pm/0000005025.PDF,Document: 0000005025<br>Pages: 1<br>Click to open file,-1.1206487959366522,8.012020489596622,-9.609801794319248,7.108445131751841,2,2,Cluster 2,Cluster 2
0000005127,1,1,,,https://pdf.hres.ca/noc_pm/0000005127.PDF,Document: 0000005127<br>Pages: 1<br>Click to open file,-1.640733415458747,8.944356343173283,-9.023644949226474,7.753481829139536,2,2,Cluster 2,Cluster 2
0000005189,2,2,,,https://pdf.hres.ca/noc_pm/0000005189.PDF,Document: 0000005189<br>Pages: 2<br>Click to open file,0.7237113768119134,5.640406033419864,-6.0570645582962985,5.23431583640272,3,3,Cluster 3,Cluster 3
0000005202,1,1,,,https://pdf.hres.ca/noc_pm/0000005202.PDF,Document: 0000005202<br>Pages: 1<br>Click to open file,-1.7935199087601386,8.793995282077091,-8.997892881660556,7.810614550086802,2,2,Cluster 2,Cluster 2
0000005257,2,2,,,https://pdf.hres.ca/noc_pm/0000005257.PDF,Document: 0000005257<br>Pages: 2<br>Click to open file,-1.9615926092606268,8.819543263339298,-9.097079778938388,7.972509348365611,2,2,Cluster 2,Cluster 2
0000005420,1,1,,,https://pdf.hres.ca/noc_pm/0000005420.PDF,Document: 0000005420<br>Pages: 1<br>Click to open file,-1.1531950777512274,8.049400708102482,-9.521445776252841,7.168873751136607,2,2,Cluster 2,Cluster 2
0000005431,1,1,,,https://pdf.hres.ca/noc_pm/0000005431.PDF,Document: 0000005431<br>Pages: 1<br>Click to open file,-1.6952690428238593,8.616214177035587,-9.209587599067783,7.898137056800669,2,2,Cluster 2,Cluster 2
